title	author	WD_signature	storage	publisher	year	pages
Wokół dramatu poetyckiego XIX wieku		PG7088 .W65 2017		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej	2017	268
Postęp i regres : ekonomiczno-społeczne uwarunkowania ewolucji cywilizacji		HD75 .P67 2017		Oficyna Wydawnicza SGH Szkoła Główna Handlowa	2017	229
"Od ""Landschaftu"" do ""krajobrazu"" : z pogmatwanych dziejów Śląska"		DK4600.S425 O316 2017		"Ośrodek ""Pamięć i Przyszłość"""	2017	473
Analiza przepływowa : od teorii do praktyki		QD79.I5 A53 2017		Wydawnictwo Malamut	2017	386
Opinie prawne w praktyce		KKP1629 .O65 2017		Wydawnictwo C. H. Beck	2017	346
Z Watkowa do Opinogóry przez Gołymin : Watkowo 777		DK4600.C47 Z28 2017		Towarzystwo Miłośników Opinogóry	2017	284
Coming out : najlepsze dyplomy Akademii Sztuk Pięknych w Warszawie 2017				Akademia Sztuk Pięknych	2017	255
Anatomia strachu : strach, lęk i ich oblicza we współczesnej kulturze		CB151 .A53 2017		Wydawnictwo Naukowe Akademii Ignatianum	2017	616
Janowiec nad Wisłą : źródła archeologiczne do dziejów miasta (XVI-XVII w.)		DK4800.J354 J36 2017		Wydawnictwo Instytutu  Archeologii i Etnologii Polskiej Akademii Nauk	2017	223
Naturalizm prawniczy : granice		K232.P55 N38 2017		Wolters Kluwer	2017	267
Wszystko o nosicielkach hemofilii : poradnik dla nosicielek hemofilii A i B		RC642 .W79 2017		Polskie Stowarzyszenie Chorych na Hemofilię	2017	120
Polityki relacji w literaturze kobiet po 1945 roku		PG7034 .P63 2017		Wydawnictwo Naukowe Uniwersytetu Szczecińskiego	2017	288
Sztuka i jej wartości		NX60 .S96 2017		Wydawnictwo Uniwersytetu Śląskiego	2017	197
Wielkie Pomorze : społeczności i narody : praca monograficzna		DK4600.P6742 W54 2017		Wydawnictwo Naukowe Akademii Pomorskiej	2017	417
Zasoby i perspektywy gospodarowania wodą w dorzeczu Wisły		GB1333.P7 Z376 2017		Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika	2017	209
Imaging Scottishness : European and domestic representations		PR8504 .I63 2017		Semper	2017	324
Globalizacja, integracja europejska a suwerenność państwa		JZ1318 .G556 2017		"Komitet Prognoz ""Polska 2000 Plus"" przy Prezydium Polskiej Akademii Nauk"	2017	159
"Òd ""Skôrbu"" do ""Stegnë"" : 150 lat czasopiśmiennictwa kaszubskiego : praca monograficzna"		PN5355.P6 Z846 2017		Muzeum Piśmiennictwa i Muzyki Kaszubsko-Pomorskiej	2017	344
Wielkopolska i Wielkopolanie w dziejach polskiej edukacji : księga jubileuszowa z okazji 50-lecia Zakładu Historii Wychowania na Uniwersytecie im. Adama Mickiewicza w Poznaniu		LA844.W54 W54 2017	magazyn	Wydawnictwo Naukowe UAM	2017	527
Druga szansa : warsztaty dla więźniów długoterminowych		HV9377.7.A5 D78 2017		[Uniwersytet Warszawski. Wydział Stosowanych Nauk Społecznych i Resocjalizacji. Instytut Profilaktyki Społecznej i Resocjalizacji]	2017	383
Pamięć o przeszłości w prywatnych narracjach i historiografii		DK4382 .P35 2017	magazyn	Wydawnictwa Uniwersytetu Warszawskiego	2017	321
Zielona Góra : przeszłość, teraźniejszość i przyszłość. Cz. 1		DK4800.Z5 Z545 2017 t.1		Polskie Towarzystwo Historyczne. Oddział	2017	244
Świat Wincentego Pola : ziemia Pola, Mohortowskie kresy		PG7158.P552 S875 2017		Wydawnictwo KUL	2017	352
Studia z dziejów Łęcznej		DK4800.L39 S78 2017		Centrum Kultury	2017	647
Pamiętniki i listy polskich autorów z Ziem Zabranych : (Litwa, Białoruś, Ukraina) w latach 1795-1918 : materiały do katalogu. T. 1, Pamiętniki rękopiśmienne i drukowane		DK500.F67 P35 2017 t.1		Wydawnictwo Uniwersytetu Jana Kochanowskiego	2017	446
Szkice z historii lotnictwa polskiego. T. 2, Udział lotnictwa w walce o niepodległość na frontach II wojny światowej oraz wybrane aspekty funkcjonowania współczesnych sił powietrznych		UG635.P7 S96 2017 t.2		Wydawnictwo Wyższej Szkoły Oficerskiej Sił Powietrznych	2017	175
Rola zasobów ludzkich w rozwoju organizacji		HD4904.7 .R64 2017		Wydawnictwo Wyższej Szkoły Bankowej	2017	210
Poznań fantastyczny. [5], Droga wolna			magazyn	Wydawnictwo Miejskie Posnania	2017	300
Niedobici spod Stalingradu		D764.3.S7 S69165 2017		Bellona	2017	583
Vladimír Birgus : fotografia 1972-2017		TR647 .B57 2017		Muzeum Śląskie	2017	203
Colloquium Opole 2016 : Polska, Niemcy, Czechy wobec wyzwania migracji i integracji		JV7590 .C65 2017		Państwowy Instytut Naukowy - Instytut Śląski	2017	341
Kraków - metropolia. T. 2, Dylematy rozwoju		HT395.P63 K75 2016 t.2		Księgarnia Akademicka	2017	243
Relacje świadków rejestrowane dla telewizji polskiej. T. 5			magazyn	Maciej Wojtyński	2017	155
Perspektywy polityki gospodarczej : praca zbiorowa		HD87 .P45 2017		Szkoła Główna Handlowa w Warszawie - Oficyna Wydawnicza	2017	256
Management in mining production : economic, social and technical perspectives and experiences			magazyn	Wydawnictwo Politechniki Śląskiej	2017	120
Aleksander Gieysztor w pamięci i badaniach historycznych		DK4139.25.G54 A66 2017	magazyn	Wydawnictwo Uniwersytetu Warszawskiego	2017	182
Rodzinne (re)konstrukcje i transmisje w perspektywie biograficznej		HQ728 .R64 2017		Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza	2017	197
W nurcie zagadnień prawa kanonicznego i wyznaniowego. Cz. 1		KBU160 .W26 2017 t.1		Wydawnictwo Uniwersytetu Łódzkiego	2017	106
